year_,changwat_id,changwat,male_thai,female_thai,total_thai,male,female,total,n_house
2564,11,สมุทรปราการ,635991,701728,1337719,645884,710565,1356449,733185
2564,12,นนทบุรี,593693,684862,1278555,599167,689470,1288637,728953
2564,13,ปทุมธานี,558547,621700,1180247,563851,626209,1190060,660020
2564,14,พระนครศรีอยุธยา,392898,425497,818395,394024,426488,820512,342753
2564,15,อ่างทอง,131193,143158,274351,131399,143364,274763,102684
2564,16,ลพบุรี,367935,370116,738051,368733,370740,739473,303565
2564,17,สิงห์บุรี,96991,107243,204234,97144,107382,204526,79494
2564,18,ชัยนาท,153780,166302,320082,153962,166470,320432,128284
2564,19,สระบุรี,312814,324708,637522,316201,327762,643963,288275
2564,20,ชลบุรี,759348,802286,1561634,772463,811209,1583672,1092000
2564,21,ระยอง,364630,379157,743787,368992,382351,751343,524479
2564,22,จันทบุรี,260273,272453,532726,262257,274300,536557,248074
2564,23,ตราด,108129,110651,218780,112941,115435,228376,109890
2564,24,ฉะเชิงเทรา,352756,367403,720159,354834,369344,724178,321929
2564,25,ปราจีนบุรี,244036,250230,494266,244642,250683,495325,225949
2564,26,นครนายก,128095,130927,259022,128854,131579,260433,104249
2564,27,สระแก้ว,278752,278851,557603,280673,281319,561992,221802
2564,30,นครราชสีมา,1290951,1338494,2629445,1293783,1340371,2634154,1024002
2564,31,บุรีรัมย์,782031,795691,1577722,783531,796274,1579805,483349
2564,32,สุรินทร์,683323,691398,1374721,684354,691876,1376230,410088
2564,33,ศรีสะเกษ,724679,731612,1456291,725426,732130,1457556,405275
2564,34,อุบลราชธานี,929008,931330,1860338,932466,936053,1868519,629504
2564,35,ยโสธร,265745,267306,533051,265945,267449,533394,179229
2564,36,ชัยภูมิ,553470,567631,1121101,554299,567966,1122265,406943
2564,37,อำนาจเจริญ,186782,188799,375581,187122,189228,376350,122801
2564,38,บึงกาฬ,211075,210140,421215,211494,210501,421995,140512
2564,39,หนองบัวลำภู,253286,255103,508389,253757,255244,509001,154912
2564,40,ขอนแก่น,877203,910023,1787226,879849,911014,1790863,654344
2564,41,อุดรธานี,770495,788603,1559098,775357,791153,1566510,538277
2564,42,เลย,318336,316353,634689,319949,318783,638732,230763
2564,43,หนองคาย,254006,258049,512055,256268,260575,516843,181752
2564,44,มหาสารคาม,464460,483085,947545,464976,483334,948310,308947
2564,45,ร้อยเอ็ด,641072,653754,1294826,641883,654130,1296013,400811
